nombre,cargo,company,enlace,imagen
Isabel Ferrández Fructuoso,Consultora de Marketing Online y SEO,Fabrica Online,https://twitter.com/isabelferrandez,Isabel Ferrández Fructuoso.jpg
Rocío Morales,Social Media y Content Marketing,Bilnea,https://twitter.com/rocioymb,Rocío Morales.jpg
Salvador Campello,Editor,TeleElx.es,https://twitter.com/SalvaElx,Salvador Campello.jpg
Julia Albaladejo,Pendiente,Pendiente,https://twitter.com/JuliaAlbaladejo,Julia Albaladejo.jpg
Luis Casalins,Pendiente,Pendiente,https://twitter.com/Sitolcp,Luis Casalins.jpg
Concha Maestre,Pendiente,Pendiente,https://twitter.com/conchamaestre,Concha Maestre.jpg
David Rubio,Pendiente,Pendiente,https://twitter.com/david_rubio7,David Rubio.jpg
Margarita Alcarria,Pendiente,Pendiente,https://twitter.com/MargAlcarria,Margarita Alcarria.jpg
María Ruiz,Pendiente,Pendiente,https://twitter.com/mariarzp,María Ruiz.jpg
