nombre,cargo,company,enlace,imagen
Neus Blasco,Periodista,Enlaire Ràdio,https://twitter.com/@nblasco92,Neus Blasco.jpg
Juan Diego Rocamora,Community Manager,Proyecto VegaViajeros,https://twitter.com/Jico1,Juan Diego Rocamora.jpg
Ana Juan Montero,Directora,Tachas y Metal,https://twitter.com/TachasyMetal,Ana Juan Montero.jpg
Vicente Coves,Pendiente,Pendiente,https://twitter.com/Vcoves09,Vicente Coves.jpg
Ana Esclapez,Pendiente,Pendiente,https://twitter.com/anaesclapez7,Ana Esclapez.jpg
Vanessa Gregori,Pendiente,Pendiente,https://twitter.com/vanessagregori_,Vanessa Gregori.jpg
José Antonio Moya,Pendiente,Pendiente,https://twitter.com/videoenredo,José Antonio Moya.jpg
Mª José Vidal,Pendiente,Pendiente,Pendiente,Mª José Vidal.jpg
Nacho Ortíz,Pendiente,Pendiente,https://twitter.com/nachoortiz,Nacho Ortíz.jpg
